host	value year
purdue.edu	2	2014
addictionjournal.org	1	2014
dot.gov	12	2015
nature.com	12	2015
doi.org	680	2015
drugabuse.gov	47	2015
unodc.org	55	2015
google.com	65	2015
nih.gov	774	2015
europa.eu	36	2015
jneurosci.org	8	2015
maps.org	64	2015
erowid.org	69	2015
justice.gov	12	2015
clinchem.org	12	2015
ingentaconnect.com	12	2015
espacenet.com	24	2015
jstor.org	12	2015
wired.com	23	2015
nytimes.com	66	2015
psychedelic-library.org	7	2015
who.int	12	2015
scientopia.org	12	2015
bbc.co.uk	24	2015
statutelaw.gov.uk	12	2015
aclu.org	12	2015
rijksoverheid.nl	12	2015
government.nl	12	2015
isomerdesign.com	24	2015
fsijournal.org	12	2015
drugtext.org	17	2015
latimes.com	16	2015
sciencedirect.com	12	2015
nypost.com	12	2015
wsj.com	12	2015
mixmag.net	12	2015
dailyprogress.com	12	2015
drugs.com	12	2015
commonchemistry.org	12	2015
guidetopharmacology.org	12	2015
drugbank.ca	12	2015
chemspider.com	12	2015
kegg.jp	12	2015
ebi.ac.uk	36	2015
rcsb.org	12	2015
eurekaselect.com	7	2015
thegooddrugsguide.com	4	2015
umd.edu	4	2015
weeklywire.com	5	2015
washingtonpost.com	5	2015
bmj.com	3	2015
europa.eu	21	2016
dot.gov	7	2016
doi.org	449	2016
nih.gov	511	2016
nature.com	7	2016
drugabuse.gov	21	2016
drugs.com	12	2016
unodc.org	35	2016
google.com	45	2016
latimes.com	14	2016
erowid.org	43	2016
jneurosci.org	7	2016
maps.org	46	2016
justice.gov	7	2016
clinchem.org	7	2016
ingentaconnect.com	7	2016
espacenet.com	14	2016
jstor.org	7	2016
nytimes.com	45	2016
wired.com	7	2016
drugtext.org	14	2016
weeklywire.com	7	2016
statutelaw.gov.uk	7	2016
washingtonpost.com	7	2016
who.int	7	2016
scientopia.org	7	2016
bbc.co.uk	14	2016
aclu.org	7	2016
rijksoverheid.nl	7	2016
government.nl	7	2016
isomerdesign.com	14	2016
fsijournal.org	7	2016
sciencedirect.com	21	2016
bmj.com	7	2016
nypost.com	3	2016
wsj.com	3	2016
dailyprogress.com	3	2016
eurekaselect.com	7	2016
mixmag.net	3	2016
commonchemistry.org	7	2016
guidetopharmacology.org	7	2016
drugbank.ca	7	2016
chemspider.com	7	2016
kegg.jp	7	2016
ebi.ac.uk	21	2016
rcsb.org	7	2016
